player_name,team_name,player_season_minutes,primary_position,player_season_np_xg_per_shot,player_season_np_xg_90,player_season_np_shots_90,player_season_goals_90,player_season_obv_pass_90,player_season_op_xa_90,player_season_op_key_passes_90,player_season_touches_inside_box_90,player_season_obv_dribble_carry_90,player_season_turnovers_90,player_season_padj_pressures_90,player_season_aerial_wins_90,player_season_counterpressure_regains_90,through_balls_received,through_balls_per_90
Ashley Du Preez,Kaizer Chiefs FC,2187.5664,Centre Forward,0.1102265094188933,0.2131401,1.9336556,0.24684964,0.033270534,0.08382839,1.2342483,4.073019,0.12760739,3.4558952,18.431406,0.20570804,0.28799126,36.0,1.481097919785629
Wayde Lekay,Cape Town City FC,330.06668,Centre Forward,0.1270979387419564,0.485185,3.8174105,0.27267218,-0.035485435,0.06933065,0.8180165,8.180165,-0.050325565,4.362755,15.143735,5.4534435,0.8180165,6.0,1.6360330833156664
Tshegofatso Mabasa,Sekhukhune United,935.4166,Centre Forward,0.1042306621869405,0.2406823,2.3091316,0.19242762,-0.029754788,0.081229985,0.5772829,6.0614705,-0.038325004,2.982628,8.658391,2.0204902,0.38485524,8.0,0.7697105061058248
Sera Motebang,Royal AM FC,734.7334,Centre Forward,0.1145047599619085,0.30857372,2.694855,0.48997366,-0.09082408,0.09343513,0.61246705,6.859631,0.03092553,4.164776,11.188358,2.082388,0.36748025,12.0,1.4699208263894885
Knox Mutizwa,Lamontville Golden Arrows FC,1739.5332,Centre Forward,0.086281327314155,0.19195306,2.2247348,0.3104281,0.06995828,0.13216761,1.0864984,5.587706,0.04027894,3.5699234,9.210849,2.1729968,0.15521406,14.0,0.7243322768774615
Sibusiso Vilakazi,TS Galaxy FC,396.35004,Centre Forward,0.2356061140696207,0.16049866,0.68121606,0.0,-0.13422923,0.009826683,0.227072,2.9519362,-0.005062351,2.497792,13.005365,1.13536,0.454144,4.0,0.5064359719141245
Leandro Gastón Sirino,Mamelodi Sundowns FC,1016.63324,Left Centre Forward,0.1206686129936805,0.27774477,2.3017151,0.0885275,0.324699,0.27898473,1.9476049,6.5510354,0.029943312,4.24932,21.405746,0.2655825,0.177055,9.0,0.7967474996514229
Bongi Ntuli,AmaZulu FC,1104.4001,Right Centre Forward,0.148870816101899,0.44887698,3.0152116,0.407461,-0.0939177,0.024232138,0.73342985,8.230713,-0.058298286,4.5635633,11.868357,3.7486413,0.3259688,3.0,0.24447662118966887
Abubeker Nasir Ahmed,Mamelodi Sundowns FC,389.9,Right Centre Forward,0.1819780617952346,0.33604568,1.8466274,0.46165684,-0.023620924,0.042433675,0.9233137,6.463196,0.030931428,4.38574,25.416744,0.6924853,0.23082842,3.0,0.6924852881500533
Elmo Kambindu,Chippa United FC,496.1667,Centre Forward,0.2634193102518717,0.2866908,1.088344,0.0,-0.05473532,0.034063607,0.3627813,4.5347667,-0.00842554,4.5347667,17.84124,3.4464223,0.3627813,2.0,0.3627813013012439
Sakhile Hlongwa,Richards Bay FC,444.26663,Centre Forward,0.0946525060213529,0.24927245,2.6335535,0.20258105,-0.13937321,0.044983134,0.8103242,7.4954987,0.022152482,4.861945,15.55968,3.2412968,0.0,5.0,1.0129052228634587
Khanyisa Mayo,Cape Town City FC,2125.9832,Centre Forward,0.151902726980356,0.4179859,2.7516682,0.42333356,0.060030278,0.19198248,1.2700007,4.953003,0.020870563,3.5983353,12.906741,1.6933342,0.25400013,35.0,1.4816673719403357
Tawanda Macheke,Maritzburg United FC,658.9167,Left Centre Forward,0.0654935121536254,0.12312953,1.7756418,0.0,-0.023945376,0.016346049,0.5463513,4.780574,-0.021922776,4.917162,16.377375,2.5951688,0.13658783,3.0,0.2820039543158482
Tawanda Macheke,Swallows FC,298.5167,Left Centre Forward,0.0654935121536254,0.12312953,2.1104348,0.0,-0.023945376,0.016346049,0.0,3.6178882,-0.021922776,4.2208695,12.827149,3.014907,0.0,3.0,0.2820039543158482
Friday Samu,Maritzburg United FC,1373.4498,Centre Forward,0.1032571212665454,0.2503522,2.4245517,0.19658525,-0.03375805,0.08736118,0.91739786,6.3562565,-0.009474735,3.145364,14.588083,3.2108924,0.19658525,6.0,0.39317054893095943
Chibuike Ohizu,Sekhukhune United,1287.0166,Centre Forward,0.1208305860820569,0.16054206,1.3286542,0.34964582,-0.021198018,0.06869392,0.9790084,3.776175,-0.032830235,3.9160335,14.835706,1.7482291,0.27971667,5.0,0.3496458507107321
Sede Junior Dion,AmaZulu FC,937.5501,Centre Forward,0.1118318693978445,0.300588,2.6878564,0.38397947,-0.04281629,0.105921,0.76795894,6.5276513,0.023046933,2.8798459,16.645088,3.8397949,0.8639538,8.0,0.43431050845219826
Sede Junior Dion,Marumo Gallants,720.25,Centre Forward,0.0993876023726029,0.23740794,1.9993058,0.24991323,-0.051244136,0.062357623,0.24991323,3.6237419,-0.00012635124,3.7486982,13.050334,2.1242623,0.24991323,8.0,0.43431050845219826
Amadou Soukouna,Maritzburg United FC,1505.1334,Centre Forward,0.1059111109319723,0.33564863,3.1691544,0.41856757,-0.017711576,0.06234107,0.657749,5.142401,0.024451919,3.7073123,14.789139,2.0330424,0.23918146,12.0,0.7175443479779152
Sinethemba Mthobisi Mngomezulu,Stellenbosch FC,847.8999,Centre Forward,0.0900077490971006,0.27706128,3.0781937,0.42457843,-0.1383377,0.019327154,0.42457843,8.385424,0.022567224,4.6703625,15.505236,2.9720488,0.21228921,10.0,1.0614460504123187
Kwame Peprah,Maritzburg United FC,440.43335,Centre Forward,0.0801647752523422,0.13104965,1.6347536,0.2043442,-0.06861216,0.03579959,1.021721,5.925982,-0.059678003,3.6781957,11.108919,5.108605,0.2043442,5.0,0.7943512475373722
